SMILES,IC50_log
CC(C)(O)NC(=O)C1CCCN1CC2=CC(=C(OCC3=CC(=CC=C3)C4=CC=CC=C4)C=C2)[N+]([O-])=O,4.2626798770413155
OCCNC(=O)C1CCCN1CC2=CC(=C(OCC3=CC(=CC=C3)C4=CC=CC=C4)C=C2)[N+]([O-])=O,4.02535169073515
CC(CO)(CO)NC(=O)C1CCCN1CC2=CC(=C(OCC3=CC(=CC=C3)C4=CC=CC=C4)C=C2)[N+]([O-])=O,3.8918202981106265
CC(CO)NC(=O)C1CCCN1CC2=CC(=C(OCC3=CC(=CC=C3)C4=CC=CC=C4)C=C2)[N+]([O-])=O,4.127134385045092
CC(=O)NCCNC(=O)C1CCCN1CC2=CC(=C(OCC3=CC(=CC=C3)C4=CC=CC=C4)C=C2)[N+]([O-])=O,4.02535169073515
CN(CC(O)CO)C(=O)C1CCCN1CC2=CC(=C(OCC3=CC(=CC=C3)C4=CC=CC=C4)C=C2)[N+]([O-])=O,2.302585092994046
OCC(NC(=O)C1CCCN1CC2=CC(=C(OCC3=CC(=CC=C3)C4=CC=CC=C4)C=C2)[N+]([O-])=O)C(O)=O,4.290459441148391
CC(O)C(NC(=O)C1CCCN1CC2=CC(=C(OCC3=CC(=CC=C3)C4=CC=CC=C4)C=C2)[N+]([O-])=O)C(O)=O,4.02535169073515
CC(C)(C)CNC(=O)C1CCCCN1CC2=CC(=C(OCC3=CC(=CC=C3)C4=CC=CC=C4)C=C2)[N+]([O-])=O,2.4849066497880004
CC(NC(=O)C1CCCCN1CC2=CC(=C(OCC3=CC(=CC=C3)C4=CC=CC=C4)C=C2)[N+]([O-])=O)C(O)=O,2.5649493574615367
OCC(NC(=O)C1CCCCN1CC2=CC(=C(OCC3=CC(=CC=C3)C4=CC=CC=C4)C=C2)[N+]([O-])=O)C(O)=O,2.4849066497880004
CC(O)C(NC(=O)C1CCCCN1CC2=CC(=C(OCC3=CC(=CC=C3)C4=CC=CC=C4)C=C2)[N+]([O-])=O)C(O)=O,3.295836866004329
OC(=O)C1CCCN1C(=O)C2CCCCN2CC3=CC(=C(OCC4=CC(=CC=C4)C5=CC=CC=C5)C=C3)[N+]([O-])=O,2.70805020110221
CC1=C(COC2=C(C=C(CNC(CO)C(O)=O)C(=C2)OCC3=CC(=CC=C3)C#N)[N+]([O-])=O)C=CC=C1C4=CC=CC=C4,2.5649493574615367
CC(O)C(NCC1=CC(=C(OCC2=C(C)C(=CC=C2)C3=CC=CC=C3)C=C1OCC4=CC(=CC=C4)C#N)[N+]([O-])=O)C(O)=O,1.0986122886681098
CC1=C(COC2=C(C=C(CN3CCCC3C(O)=O)C(=C2)OCC4=CC(=CC=C4)C#N)[N+]([O-])=O)C=CC=C1C5=CC=CC=C5,3.1354942159291497
CC1=C(COC2=C(C=C(CN3CCCCC3C(O)=O)C(=C2)OCC4=CC(=CC=C4)C#N)[N+]([O-])=O)C=CC=C1C5=CC=CC=C5,1.791759469228055
CC(=O)NCCNCC1=CC(=C(OCC2=C(C)C(=CC=C2)C3=CC=CC=C3)C=C1OCC4=CC(=CC=C4)C#N)[N+]([O-])=O,2.0794415416798357
CC1=C(COC2=C(C=C(CNC(CO)CO)C(=C2)OCC3=CC(=CC=C3)C#N)[N+]([O-])=O)C=CC=C1C4=CC=CC=C4,2.0794415416798357
CC1=C(COC2=C(C=C(CNCCO)C(=C2)OCC3=CC(=CC=C3)C#N)[N+]([O-])=O)C=CC=C1C4=CC=CC=C4,1.3862943611198906
CN(CC(O)=O)CC1=CC(=C(OCC2=C(C)C(=CC=C2)C3=CC=CC=C3)C=C1OCC4=CC(=CC=C4)C#N)[N+]([O-])=O,2.0794415416798357
CC1=C(COC2=C(C=C(CNC(CO)C(O)=O)C(=C2)OCC3=CN=CC=C3)[N+]([O-])=O)C=CC=C1C4=CC=CC=C4,2.8903717578961645
